focal_class,cluster,n_scenes,pct_of_class,top_co_classes,silhouette,k
monitor,3,82,18.6,"desk=1.00, keyboard=1.00, chair=0.83",0.748,5
monitor,4,36,8.2,"keyboard=1.00, chair=0.78, book=0.11",0.748,5
monitor,5,50,11.4,"desk=0.26, book=0.08, chair=0.00",0.748,5
curtain,1,15,8.2,"pillow=1.00, lamp=0.00, bed=0.00",0.878,5
curtain,2,105,57.7,"lamp=0.00, pillow=0.00, bed=0.00",0.878,5
curtain,3,23,12.6,"pillow=1.00, bed=0.87, lamp=0.57",0.878,5
curtain,4,19,10.4,"bed=1.00, lamp=0.00, pillow=0.00",0.878,5
curtain,5,20,11.0,"lamp=1.00, bed=0.25, pillow=0.00",0.878,5
bottle,1,108,67.9,"cabinet=0.06, cup=0.03, bag=0.03",0.71,5
bottle,2,20,12.6,"book=1.00, box=0.35, paper=0.15",0.71,5
bottle,3,7,4.4,"cabinet=1.00, box=1.00, book=0.14",0.71,5
bottle,4,16,10.1,"box=1.00, bag=0.06, paper=0.06",0.71,5
bottle,5,8,5.0,"paper=1.00, cup=0.12, cabinet=0.00",0.71,5
bag,1,86,58.5,"bottle=0.03, paper=0.01, cabinet=0.00",0.8,5
bag,2,9,6.1,"cabinet=1.00, box=0.00, picture=0.00",0.8,5
bag,3,21,14.3,"box=1.00, bottle=0.05, paper=0.05",0.8,5
bag,4,25,17.0,"book=1.00, cabinet=0.12, box=0.08",0.8,5
bag,5,6,4.1,"picture=1.00, paper=0.17, cabinet=0.00",0.8,5
mirror,1,95,66.0,"lamp=0.00, pillow=0.00, bed=0.00",0.945,5
mirror,2,20,13.9,"lamp=1.00, pillow=1.00, bed=1.00",0.945,5
mirror,3,10,6.9,"lamp=1.00, pillow=0.00, bed=0.00",0.945,5
mirror,4,8,5.6,"bed=1.00, lamp=0.38, pillow=0.00",0.945,5
mirror,5,11,7.6,"pillow=1.00, lamp=0.82, bed=0.00",0.945,5
counter,1,174,87.0,"cabinet=0.00, bottle=0.00, bag=0.00",0.995,4
counter,2,23,11.5,"cabinet=1.00, bottle=0.00, bag=0.00",0.995,4
counter,3,1,0.5,"bag=1.00, cabinet=0.00, bottle=0.00",0.995,4
counter,4,2,1.0,"bottle=1.00, cabinet=0.00, bag=0.00",0.995,4
keyboard,1,32,10.7,"monitor=1.00, desk=0.00, paper=0.00",0.929,5
keyboard,2,85,28.3,"desk=1.00, paper=0.00, monitor=0.00",0.929,5
keyboard,3,84,28.0,"desk=0.00, paper=0.00, monitor=0.00",0.929,5
keyboard,4,75,25.0,"desk=1.00, monitor=1.00, paper=0.00",0.929,5
keyboard,5,24,8.0,"paper=1.00, desk=0.54, monitor=0.46",0.929,5
cup,1,83,77.6,"cabinet=0.00, paper=0.00, bottle=0.00",1.0,5
cup,2,10,9.3,"paper=1.00, cabinet=0.00, bottle=0.00",1.0,5
cup,3,6,5.6,"bottle=1.00, cabinet=0.00, paper=0.00",1.0,5
cup,4,6,5.6,"cabinet=1.00, paper=0.00, bottle=0.00",1.0,5
cup,5,2,1.9,"paper=1.00, bottle=1.00, cabinet=0.00",1.0,5
